GENE	Col 0	Col 1	Col 2	Col 3	Col 4	Col 5	Col 6	Col 7	Col 8	Col 9	Col 10	Col 11	Col 12	Col 13	Col 14	Col 15	Col 16	Col 17	Col 18	Col 19	Col 20	Col 21	Col 22	Col 23	Col 24	Col 25	Col 26	Col 27	Col 28	Col 29	Col 30	Col 31	Col 32	Col 33	Col 34	Col 35	Col 36	Col 37	Col 38	Col 39	Col 40	Col 41	Col 42
VNG0117H	1.076752	2.195822	0.604249	0.661764	0.573347	-0.023003	2.195822	0.366236	1.243917	1.089672	0.712600	-3.330918	1.047706	0.499247	-0.222500	0.421929	1.462835	0.408576	0.583363	0.820096	0.664397	0.629611	0.666632	0.990741	0.641663	0.538818	0.328122	-0.925264	0.464851	1.220339	0.750041	0.788212	0.396093	0.393295	0.574406	0.143003	1.067848	-0.578181	0.630992	1.596696	0.386108	1.482480	0.715166
VNG0123G	0.106717	2.195822	1.348762	-2.249301	1.400741	0.277026	2.195822	0.040298	1.673872	0.171977	1.286607	-0.331921	1.604979	1.484660	0.318854	-4.722081	0.420590	1.451530	-1.507107	0.323196	-0.472622	-0.753281	1.354002	1.645390	1.787621	2.050381	-2.103236	0.234640	1.873710	1.927490	-2.771015	-0.059927	0.342815	-2.730601	-1.051632	-2.554610	-0.790090	0.437685	-2.335507	0.581470	1.833038	0.956812	-2.216069
VNG0124C	0.350852	2.195822	1.268956	-3.732420	1.365715	0.378583	2.195822	-0.211155	1.614899	0.430569	1.228145	0.204976	1.495832	1.393012	0.219363	-3.605901	0.059193	1.417077	-1.675897	0.209167	-1.022310	-1.655966	1.280205	1.518650	1.737788	1.994771	-4.070735	0.000483	1.793986	1.927562	-4.199903	0.387002	0.382320	-3.199584	-2.264223	-1.544708	-1.257535	0.092688	-2.869303	0.664602	1.760007	0.817591	-2.068013
VNG0132C	0.249312	2.195822	1.384612	-0.830365	1.453143	-0.293447	2.195822	0.607964	1.627512	0.235697	1.228978	0.740310	1.538123	1.493384	0.291848	-1.567935	-0.161229	1.449823	-3.054080	0.489911	0.515174	-1.068329	1.336250	1.593235	1.795184	1.946943	-1.006522	0.031572	1.873534	1.914236	-1.430926	0.293942	0.669578	-1.615233	-1.077888	-0.724234	-2.235560	0.434510	-2.103451	0.228263	1.804655	0.794582	-1.554779
VNG0147C	0.054912	2.195822	1.215082	-6.046523	1.294431	0.711920	2.195822	-0.716038	1.510771	0.196394	1.183566	0.294636	1.454025	1.368612	0.617769	-2.620132	0.103857	1.349060	-1.093122	0.476189	-1.779056	-1.050527	1.238724	1.529863	1.675683	2.005061	-2.487509	0.521034	1.774948	1.788767	-3.136848	0.089687	0.635306	-1.731625	-1.230539	-1.405819	-1.431838	0.592153	-1.972882	0.423064	1.752437	1.042917	-2.462349
VNG0149G	0.333912	2.195822	0.957522	-0.913696	1.062744	1.359328	2.195822	-4.008703	1.088477	0.538784	1.032126	0.883292	1.116169	1.064643	1.193539	-0.454860	0.343709	1.164594	0.064645	1.004768	-1.919316	-0.696927	1.039876	1.312706	1.434313	1.932854	-0.762723	1.094985	1.585029	1.391948	-0.600621	0.281874	1.169116	-0.012320	-0.665838	-0.159460	-1.004994	0.931689	-0.270218	0.459115	1.609878	1.379481	-0.557110
VNG0158G	1.128683	2.195822	0.581175	0.675385	0.324714	0.154721	2.195822	1.092056	0.812440	1.119380	0.730610	-0.600451	0.818328	0.346336	-1.690757	0.521969	0.764842	0.870021	0.623647	-1.634804	0.434958	0.462642	0.667599	0.010431	0.699401	0.829759	0.308593	-0.358154	0.927449	1.253735	0.283612	1.063774	-2.958266	0.439802	0.573692	0.523083	0.885195	-0.898859	0.497323	1.421648	0.906758	-0.386567	0.670904
VNG0168H	0.265967	2.195822	1.301250	-2.739654	1.395444	0.215999	2.195822	0.004144	1.627016	0.331671	1.236001	0.383170	1.514550	1.432949	0.138809	-3.376081	-0.106385	1.431641	-2.023937	0.139582	-0.645984	-1.506950	1.300641	1.537369	1.758075	2.004802	-2.891353	-0.005555	1.823968	1.934584	-5.451398	0.363536	0.372611	-3.866664	-1.771459	-1.326773	-1.595583	0.134932	-4.214169	0.519354	1.783896	0.718958	-2.451313
VNG0176H	0.039874	2.195822	1.275343	-4.120180	1.356013	0.475301	2.195822	-0.265409	1.579113	0.145973	1.220941	0.307942	1.506523	1.425596	0.413934	-3.385164	0.021648	1.397945	-1.473365	0.289092	-1.045706	-1.082238	1.285764	1.555920	1.730801	2.027094	-2.581866	0.379105	1.821056	1.860199	-4.673717	0.109531	0.481166	-2.295650	-1.166538	-1.478226	-1.568681	0.463638	-2.894435	0.372335	1.789152	0.876001	-3.143031
VNG0192G	-1.395216	2.195822	-0.371311	1.020186	-0.882683	0.674838	2.195822	1.153972	-1.902021	-1.820292	-1.217092	0.472968	-0.115826	0.046020	1.125026	1.080500	1.001503	-1.379565	1.056304	0.452616	1.656693	1.315758	-0.617411	-0.361909	-0.519552	-1.607626	1.098673	1.523469	-0.838769	-5.586151	1.277644	-1.236485	0.575166	1.594643	2.001622	1.104241	1.077590	1.613667	1.068187	-1.203213	-1.230134	0.833028	0.957526
VNG0194H	-0.749981	2.195822	-2.685139	1.353280	-2.803968	0.376339	2.195822	1.386983	-2.025437	-0.705791	-2.752363	0.199605	-1.406926	-1.267487	0.622382	1.255413	1.435868	-3.850383	1.251136	0.239885	1.931371	1.389114	-3.005385	-0.279031	-6.500193	-0.413254	1.187095	0.905660	-3.475040	-0.255096	1.449732	-0.733223	0.388723	1.751547	2.121503	1.275007	1.342574	1.013847	1.261258	-0.257093	-2.583576	0.809349	1.209768
VNG0226G	0.504732	2.195822	1.227202	-4.008262	1.351476	0.459992	2.195822	-0.375650	1.588287	0.586978	1.199300	0.430864	1.435223	1.343280	0.211616	-2.434967	-0.150174	1.397711	-1.541858	0.204271	-1.381554	-2.412984	1.241324	1.445723	1.708854	1.952455	-4.687923	-0.114368	1.739354	1.930338	-2.896477	0.607524	0.446619	-2.541655	-3.589989	-1.098384	-1.367031	-0.090307	-2.397273	0.752210	1.709032	0.782604	-1.645374
VNG0243C	0.987212	2.195822	0.647042	0.635894	0.581465	0.129776	2.195822	0.159631	1.247865	1.006588	0.738080	-2.656389	1.112393	0.610475	0.091260	0.366045	1.497956	0.343368	0.569853	0.985945	0.546179	0.670197	0.709771	1.147688	0.615880	0.657617	0.311130	-0.487125	0.566502	1.094422	0.717759	0.648018	0.617553	0.262050	0.477436	0.029993	1.048787	-0.041446	0.610719	1.558133	0.498085	1.630210	0.657037
VNG0245G	0.675020	2.195822	1.281073	-1.899341	1.395015	0.052820	2.195822	0.142002	1.651156	0.712559	1.203950	0.378494	1.470283	1.375709	0.041546	-2.101693	-0.218402	1.433288	-2.862730	0.281505	-0.187772	-2.893105	1.262312	1.468643	1.745719	1.864576	-2.413848	-1.123847	1.741794	2.009569	-1.994601	0.757960	0.459508	-2.973906	-5.771988	-1.000951	-1.118502	-0.247729	-2.229079	0.891563	1.686872	0.793372	-1.192801
VNG0248C	-0.254197	2.195822	-2.511789	1.465112	-1.691733	0.273946	2.195822	1.498451	-1.165378	-0.202940	-2.942021	0.384614	-1.895102	-1.347822	0.588662	1.328680	1.505726	-2.040345	1.286692	0.514985	2.060998	1.406398	-4.587278	0.059221	-2.879907	-0.575650	1.247932	0.488212	-2.933685	0.327065	1.520076	-0.147985	0.660864	1.804350	2.152830	1.360478	1.403760	0.843872	1.334739	0.029716	-2.599747	1.008435	1.305762
VNG0249G	-0.290339	2.195822	-2.553261	1.447885	-1.641561	0.093652	2.195822	1.508181	-1.373543	-0.274269	-3.440255	0.492731	-2.382715	-1.548234	0.429192	1.314067	1.463145	-2.351479	1.268977	0.290089	2.041155	1.387585	-5.599212	-0.254367	-3.199563	-0.649593	1.233263	0.555491	-4.248567	0.228069	1.504110	-0.165526	0.491901	1.788673	2.139782	1.352841	1.373320	0.760060	1.306800	-0.113565	-3.773891	0.767912	1.281852
VNG0254G	-0.647832	2.195822	-2.670871	1.393803	-2.203310	0.354527	2.195822	1.425560	-1.914000	-0.597009	-3.294656	0.372418	-1.688359	-1.209715	0.634284	1.286729	1.439755	-3.373928	1.265177	0.347005	1.979149	1.400868	-3.726689	-0.167080	-6.276100	-0.487899	1.215227	0.817253	-3.542570	-0.089764	1.477639	-0.486939	0.523250	1.774477	2.139673	1.317189	1.355443	0.992828	1.287873	-0.294496	-2.739922	0.872728	1.241467
VNG0285C	0.770058	2.195822	1.242286	-2.171608	1.348106	0.288157	2.195822	-0.102342	1.651124	0.818316	1.194741	-0.114493	1.465930	1.329373	0.211002	-2.018123	0.127055	1.411048	-1.899244	0.422745	-0.428601	-2.257933	1.236766	1.464886	1.714759	1.818758	-2.558484	-1.240933	1.686754	2.008374	-1.633106	0.784061	0.477740	-2.337972	-4.973960	-1.284801	-0.575568	-0.143804	-1.544028	1.087015	1.636452	1.003360	-0.897995
