"VNG0019H"	17	43
"VNG0021H"	36	43
"VNG0028C"	18	36
"VNG0034H"	15	18
"VNG0042G"	16	36
"VNG0049H"	9	43
"VNG0050C"	9	43
"VNG0053H"	32	43
"VNG0062G"	9	18
"VNG0064G"	15	27
"VNG0095G"	4	13
"VNG0098G"	7	21
"VNG0117H"	18	32
"VNG0123G"	8	23
"VNG0124C"	14	25
"VNG0132C"	9	26
"VNG0147C"	7	17
"VNG0149G"	17	43
"VNG0158G"	15	27
"VNG0168H"	6	28
"VNG0176H"	7	21
"VNG0192G"	13	41
"VNG0194H"	3	35
"VNG0226G"	14	34
"VNG0243C"	18	32
"VNG0245G"	32	34
"VNG0248C"	22	31
"VNG0249G"	22	33
"VNG0254G"	4	39
"VNG0285C"	1	32
"VNG0303G"	7	21
"VNG0315G"	6	25
"VNG0324G"	20	24
"VNG0330G"	4	39
"VNG0342G"	4	39
"VNG0343H"	19	33
"VNG0367H"	15	27
"VNG0378C"	18	32
"VNG0394C"	13	41
"VNG0399H"	2	32
"VNG0401G"	7	17
"VNG0402H"	12	31
"VNG0406C"	32	34
"VNG0410G"	32	34
"VNG0415G"	15	18
"VNG0426G"	9	34
"VNG0433C"	16	21
"VNG0439C"	9	43
"VNG0451G"	35	40
"VNG0452G"	2	33
"VNG0453G"	2	38
"VNG0457G"	11	12
"VNG0467G"	6	28
"VNG0482H"	13	18
"VNG0483C"	34	35
"VNG0486G"	13	18
"VNG0491G"	3	4
"VNG0498C"	9	18
"VNG0499G"	15	18
"VNG0501G"	1	32
"VNG0527C"	9	36
"VNG0537C"	22	30
"VNG0539C"	18	40
"VNG0540G"	12	22
"VNG0546C"	16	23
"VNG0549G"	17	21
"VNG0550G"	17	21
"VNG0559G"	28	35
"VNG0573C"	15	27
"VNG0604H"	15	27
"VNG0628G"	18	30
"VNG0659H"	23	32
"VNG0674C"	19	42
"VNG0681G"	12	22
"VNG0700G"	17	43
"VNG0702H"	13	41
"VNG0703H"	17	43
"VNG0715G"	2	3
"VNG0716G"	30	40
"VNG0719G"	19	22
"VNG0729H"	14	25
"VNG0734G"	1	8
"VNG0769H"	1	23
"VNG0794G"	5	42
"VNG0795G"	11	12
"VNG0812G"	15	27
"VNG0816G"	15	27
"VNG0818C"	18	32
"VNG0836H"	27	43
"VNG0837H"	18	32
"VNG0841G"	15	18
"VNG0864G"	29	42
"VNG0870G"	9	18
"VNG0884G"	33	39
"VNG0885G"	4	24
"VNG0916G"	15	27
"VNG0919G"	5	18
"VNG0924G"	37	38
"VNG0925C"	5	37
"VNG0937G"	25	28
"VNG0947G"	18	27
"VNG0961G"	13	41
"VNG0971G"	19	22
"VNG0985H"	17	43
"VNG0991H"	23	32
"VNG0999H"	6	28
"VNG1001G"	14	33
"VNG1007H"	9	43
"VNG1008G"	13	41
"VNG1012H"	32	34
"VNG1013G"	15	43
"VNG1021C"	15	18
"VNG1025H"	15	18
"VNG1036H"	15	43
"VNG1041H"	15	43
"VNG1046H"	15	27
"VNG1053G"	2	10
"VNG1058H"	14	23
"VNG1062G"	14	34
"VNG1068G"	26	41
"VNG1083G"	20	40
"VNG1085H"	1	12
"VNG1088C"	1	3
"VNG1101C"	14	23
"VNG1103G"	17	43
"VNG1105G"	17	43
"VNG1115H"	20	25
"VNG1123G"	6	28
"VNG1125G"	1	39
"VNG1128G"	13	41
"VNG1133G"	17	43
"VNG1136G"	17	43
"VNG1139G"	13	41
"VNG1141G"	1	41
"VNG1142G"	1	41
"VNG1143G"	1	24
"VNG1151H"	26	36
"VNG1168C"	20	34
"VNG1176G"	5	42
"VNG1182H"	30	42
"VNG1183H"	26	37
"VNG1184G"	11	35
"VNG1187G"	37	38
"VNG1189H"	1	36
"VNG1190G"	4	24
"VNG1202C"	9	26
"VNG1218C"	26	32
"VNG1224G"	8	28
"VNG1247G"	26	32
"VNG1249C"	8	28
"VNG1250H"	20	32
"VNG1261H"	24	31
"VNG1263C"	9	13
"VNG1264C"	4	39
"VNG1281H"	14	43
"VNG1291H"	28	40
"VNG1306G"	4	39
"VNG1308G"	19	39
"VNG1313G"	5	42
"VNG1314H"	6	28
"VNG1318H"	9	40
"VNG1320G"	7	21
"VNG1324C"	14	25
"VNG1326H"	5	42
"VNG1343C"	6	17
"VNG1349C"	30	40
"VNG1350C"	20	25
"VNG1377G"	8	26
"VNG1379G"	20	25
"VNG1382H"	18	32
"VNG1394H"	15	27
"VNG1408G"	4	39
"VNG1414G"	11	12
"VNG1420H"	17	34
"VNG1435G"	30	40
"VNG1438H"	32	34
"VNG1442G"	20	25
"VNG1458G"	15	27
"VNG1471C"	8	28
"VNG1473H"	7	21
"VNG1486H"	36	40
"VNG1490H"	1	3
"VNG1500H"	32	34
"VNG1514H"	15	27
"VNG1524C"	13	26
"VNG1526H"	5	13
"VNG1529G"	18	36
"VNG1533H"	20	34
"VNG1538H"	24	40
"VNG1542G"	2	12
"VNG1550G"	31	33
"VNG1551G"	13	41
"VNG1553G"	3	41
"VNG1554G"	3	41
"VNG1555G"	3	19
"VNG1557G"	3	19
"VNG1558H"	3	19
"VNG1559H"	3	19
"VNG1561C"	24	31
"VNG1562H"	3	19
"VNG1564H"	3	19
"VNG1566G"	29	37
"VNG1567G"	31	37
"VNG1568G"	2	37
"VNG1581C"	21	43
"VNG1585C"	6	40
"VNG1589C"	40	43
"VNG1617H"	15	27
"VNG1624G"	11	29
"VNG1635G"	13	39
"VNG1642H"	14	36
"VNG1647G"	18	27
"VNG1663C"	22	30
"VNG1664H"	3	11
"VNG1690G"	1	41
"VNG1691G"	10	43
"VNG1692G"	35	41
"VNG1693G"	10	24
"VNG1695G"	35	41
"VNG1697G"	10	24
"VNG1698G"	1	24
"VNG1699C"	10	43
"VNG1700G"	10	35
"VNG1701G"	10	24
"VNG1702G"	35	41
"VNG1703G"	10	24
"VNG1705G"	10	35
"VNG1706G"	10	43
"VNG1707G"	1	41
"VNG1709G"	10	43
"VNG1711G"	1	10
"VNG1713G"	10	43
"VNG1714G"	1	10
"VNG1715G"	10	43
"VNG1716G"	1	10
"VNG1718G"	10	43
"VNG1719G"	10	13
"VNG1727G"	2	40
"VNG1758H"	16	23
"VNG1760G"	19	39
"VNG1766C"	16	21
"VNG1772G"	8	30
"VNG1773G"	26	33
"VNG1774G"	17	33
"VNG1782C"	16	23
"VNG1811G"	9	13
"VNG1830G"	6	28
"VNG1832H"	14	17
"VNG1838H"	15	27
"VNG1865H"	30	42
"VNG1874C"	7	14
"VNG1889H"	13	39
"VNG1890H"	23	34
"VNG1898C"	19	30
"VNG1907H"	7	17
"VNG1912G"	6	9
"VNG1925H"	5	42
"VNG1933G"	3	19
"VNG1938C"	15	27
"VNG1948H"	32	35
"VNG1969G"	6	14
"VNG1997G"	7	17
"VNG2001G"	15	27
"VNG2005G"	20	25
"VNG2006C"	7	16
"VNG2008H"	7	16
"VNG2020C"	9	34
