V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30	V31	V32	V33	V34	V35	V36	V37	V38	V39	V40	V41	V42	V43
Cond0	0.07586520954694162	0.04069685559057809	0.07777807844419947	0.12769967326066772	0.08031571253098831	0.06699749571928590	0.09105542977689794	0.13216315364146755	0.07973472470913701	0.09365820995518126	0.02236663397140050	0.06809728580682856	0.03543701721216566	0.09841415199399305	0.06268437983007955	0.14613548538761026	0.09092492219075193	0.11543254230714281	0.08889880634802821	0.01113262624994333	0.01874746611296716	0.06188727408487826	0.02395947709115340	0.09856010112923450	0.08796239852152492	0.09261368700958710	0.15167726874315487	0.10001718627152413	0.08686442916069548	0.03487730318685068	0.22309399052753501	0.02274323097639627	0.09169210147342739	0.05111578963812476	0.08513078737462733	0.12580270448675482	0.05596410890814731	0.06191353486846529	0.13940993174902191	0.10504561191880206	0.01545418103453414	0.01780294950217569	0.06157353525302115
Cond1	0.08315690096082166	0.07725925814734730	0.08740057107698360	0.04366372700935658	0.13989455907665771	0.15116733358024523	0.00055237931700777	0.13290125536161762	0.11727906692131694	0.02870495276725024	0.01671077229623610	0.06980931774176807	0.07693212378223825	0.04997322820681660	0.08159918141753776	0.02461068957474020	0.05906410682287851	0.04656821152847155	0.06816354280965535	0.05447703349444177	0.06238815648700857	0.03432279262507005	0.15737396808360293	0.10287450696126088	0.04902845507512242	0.07188943359502620	0.00162601817234528	0.10105219356465867	0.04646978366927886	0.25534713029038847	0.01258129614810093	0.06182647964032537	0.01983577538399265	0.06164458854711379	0.08666425239092938	0.00000000000000000	0.06722153293923309	0.00865125097879093	0.09186687681516699	0.10283481111639646	0.13476879363021299	0.10624039189709081	0.05142453154658244
Cond2	0.06122275535903306	0.00840526149848367	0.07404237933126238	0.03101337429954060	0.08393011130978396	0.03854042563985267	0.09210272101267558	0.14458242535450022	0.07333740239929011	0.09956860879821823	0.08918530787980745	0.02282872647838237	0.00958468632502700	0.05692715172037598	0.08626749539354593	0.14198347843592127	0.04276755036724734	0.12777956469767487	0.09123371425311405	0.08966192265096308	0.06146942422703971	0.06647502298973083	0.06071890711237017	0.08403520453151060	0.08889150716902464	0.04950195484776951	0.11229671500871286	0.08953550038377306	0.08703310822260452	0.25345407816795729	0.18970479407564875	0.11640265080554704	0.16961679836485544	0.05518235878032460	0.13273756986625093	0.14163762844029926	0.05028078372995817	0.06414296990554380	0.05800166857563925	0.04305630130529058	0.07134536472457130	0.06576100993494750	0.06534723281097757
Cond3	0.10245553957886191	0.09504285428622013	0.00000000000000000	0.12966465532595461	0.00055787562448242	0.00007348851638054	0.12129031612908797	0.00000000000000000	0.03529507862290020	0.12443402833434511	0.09141107067393574	0.07532890719545167	0.09075640496394155	0.11126634651938425	0.10275214509805819	0.00000000000002112	0.11222619285287493	0.00000054426889737	0.09884330396106299	0.07947932435126062	0.08446195615798797	0.07353330571562786	0.02020992497687666	0.00058742895045544	0.10690922899343151	0.10184836889643402	0.00000000000000000	0.11469016565292144	0.10187647147049193	0.00000000000000001	0.12720166355473050	0.08235596798071296	0.09363713903732765	0.07490343816104479	0.03196971020684321	0.11098131985473349	0.07365831475762175	0.09078581483486688	0.07819371696842976	0.09405956116418863	0.14624102669891703	0.10726393991355919	0.08211041501558530
Cond4	0.08809697715620696	0.08397316855162144	0.06615636922180516	0.07875595270634578	0.10609912405995289	0.15401863914610095	0.10579653636619599	0.00115054824427987	0.10515110994922099	0.06443158274687041	0.08570361325287081	0.06931316085181999	0.09266716579087816	0.09421650416129537	0.07749418086264384	0.09806772920357240	0.10581461036811254	0.12101651979967870	0.06365801523000469	0.07062649132764182	0.07831039508924723	0.06915900265894363	0.14853510533786213	0.01932015650178922	0.07800579284276177	0.09494393825304843	0.14519738067765228	0.00550233672898798	0.08855359007879450	0.00893111374532342	0.00002788108450464	0.02204906867126901	0.03601556834226213	0.06253122294764271	0.07429506276321443	0.03237572982007769	0.05825265773929029	0.07988382748658372	0.04332518849360736	0.06580109709718755	0.18480025930228439	0.11372909135409208	0.04492168344808418
