"Cond0"	33	41	5	18	16	27	11	33	12	32	29	39	17	34	10	21	40	7	37	9	15	8	30	38	25	42	6	36	20
"Cond1"	26	1	15	39	23	21	7	2	33	25	30	40	13	26	6	38	24	22	43	20	31	17	9	35	34	10	19	28	4
"Cond2"	27	27	11	12	32	13	18	2	41	33	1	26	9	14	15	25	35	24	10	6	3	28	30	37	38	36	42	8	7
"Cond3"	4	8	41	43	13	22	12	27	14	5	18	17	34	38	20	16	25	39	19	31	4	42	3	28	37	11	23	15	29
"Cond4"	43	43	9	17	13	23	16	5	21	2	4	3	36	29	14	22	37	18	8	24	26	42	10	32	40	1	31	19	35
