V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30	V31	V32	V33	V34	V35	V36	V37	V38	V39	V40	V41	V42	V43
Cond0	0.18467792824393023	0.13326741221589328	0.25469494119302244	0.31085804990250171	0.19551174358096707	0.16309134029760414	0.22165533090834375	0.32172345598792879	0.19409745068023948	0.22799125291884467	0.07324259788853854	0.22299386344981276	0.11604335303017210	0.23956859552187951	0.15259196500487859	0.35573616477795617	0.22133763758391356	0.28099629451392388	0.21640548385427946	0.03645530520643347	0.06139113841165426	0.20265833187114507	0.05832431779239045	0.32274851299004853	0.21412599555624703	0.22544858105716317	0.36922647311547446	0.24347084598749338	0.21145321961528257	0.06311381775553308	0.40370992519335558	0.07447581621894096	0.22320517451371671	0.16738563482585003	0.20723303258515158	0.30624027760342304	0.18326211848376542	0.20274432639383286	0.33936421616428503	0.25571149273998584	0.02796581949439069	0.04333754365574882	0.20163095121417574
Cond1	0.20242802043706126	0.25299599326785210	0.28620510760830009	0.10629017822071761	0.34054393966828189	0.36798514299871499	0.00134465150072079	0.32352020969525569	0.28549127109454087	0.06987618223232540	0.05472170632671702	0.22860014585884436	0.25192474710761886	0.12164933449746301	0.19863607918023587	0.05990955789168764	0.14377917027801998	0.11336053612007629	0.16592983718135756	0.17839248692922591	0.20429853970999934	0.11239467243323842	0.38309389190078147	0.33687662417061914	0.11934948261985300	0.17499973621959433	0.00395819993313146	0.24599035399063379	0.11312093415725638	0.46207506810967869	0.02276705936710738	0.20245925215884064	0.04828603156709253	0.20186362493050417	0.21096593128715779	0.00000000000000000	0.22012609107006861	0.02832970296212765	0.22363062839716802	0.25032976224208670	0.24387702898764055	0.25861993380823556	0.16839665237464263
Cond2	0.14903394703069142	0.02752417681036099	0.24246188420683132	0.07549554990616383	0.20431023873179582	0.09381857643724352	0.22420474159140219	0.35195556612060003	0.17852451233937613	0.24237887828686017	0.29204947203762144	0.07475578291760709	0.03138636449674819	0.13857720163603957	0.21000010965784138	0.34562897537623349	0.10410862429641281	0.31105252883637696	0.22208932704309736	0.29361021220425204	0.20129002543958344	0.21768154227827904	0.14780743423386766	0.27518475519618502	0.21638771553512087	0.12050211842694622	0.27336278117805846	0.21795538183978322	0.21186383338511888	0.45864940913550967	0.34328897898147825	0.38117637893176515	0.41289649240351628	0.18070217091478180	0.32312175171499796	0.34478707615713067	0.16465129393018374	0.21004491593037883	0.14119288737497396	0.10481152784515106	0.12910626497711244	0.16008137519873505	0.21398843929860450
Cond3	0.24940650529450745	0.31123080779904688	0.00000000000000000	0.31564138628317995	0.00135803110757183	0.00017889236760732	0.29525581531428491	0.00000000000000000	0.08591846033524349	0.30290852280074898	0.29933803631305322	0.24667479541867046	0.29719424402808847	0.27085456536908087	0.25012852917235612	0.00000000000005142	0.27319110979254169	0.00000132490838653	0.24061327590506945	0.26026590328055554	0.27658221168500352	0.24079485312055965	0.04919682021553584	0.00192361633231485	0.26024807732780836	0.24792847571558885	0.00000000000000000	0.27918913437692550	0.24799688553329491	0.00000000000000001	0.23018358296752295	0.26968586575188713	0.22793996019219642	0.24528153895276977	0.07782354893392170	0.27016072778217737	0.24120421230294256	0.29729055066738391	0.19034619079891557	0.22896825819201688	0.26463713257902627	0.26111154660767827	0.26888176902869759
Cond4	0.21445359899380953	0.27498160990684678	0.21663806699184610	0.19171483568743697	0.25827604691138345	0.37492604789883005	0.25753946068524830	0.00280076819621550	0.25596830555060002	0.15684516376122076	0.28064818743406972	0.22697541235506541	0.30345129133737236	0.22935030297553696	0.18864331698468803	0.23872530195407121	0.25758345804911192	0.29458931562123641	0.15496207601619624	0.23127609237953300	0.25643808475375945	0.22647060029677785	0.36157753585742464	0.06326649131083252	0.18988872896097070	0.23112108858070737	0.35345254577333568	0.01339428380516414	0.21556512730904731	0.01616170499927856	0.00005045349053582	0.07220268693856616	0.08767234132347805	0.20476703037609428	0.18085573547877101	0.07881191845726888	0.19075628421303961	0.26159050404627676	0.10546607726465744	0.16017895898075954	0.33441375396183010	0.27684960072960230	0.14710218808387959
