"GENE"	"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"V31"	"V32"	"V33"	"V34"	"V35"	"V36"	"V37"	"V38"	"V39"	"V40"	"V41"	"V42"	"V43"
"VNG0019H"	-3.66677641962506	-2.9747543561992	2.51372582554842	0.82617721266876	1.54460233336028	-7.4206233803948	-7.00839154669629	-4.38752269950944	-1.22463693292288	-0.676244526748128	2.73248355284833	2.22737709303506	0.481454129919493	-6.14040159641899	0.88583687503254	-4.14366272749532	-7.64645058588254	1.20430224352156	3.37782215318066	-3.02584974899124	-3.72613779704037	3.14747170613856	-4.27379461964115	-3.73265187073142	-5.87887194499526	-0.538873947506158	1.02484899717383	-4.77157060858798	2.08759768776428	-5.24595551799131	1.70271282365463	-2.05646942636282	-3.3970003557674	-4.63012396362677	-2.6977708328284	-4.0342050446381	0.466522021777886	0.715862881823535	1.2269336365051	-2.88432260820925	0.82945728896499	1.07568009411782	-4.90658084728454
"VNG0021H"	-0.223384701804267	-0.887924254746111	1.59885864218242	1.39157856403541	1.50540359283753	-2.0934875464683	0.60527467061762	-1.60822155397316	-2.41058639475327	0.628605460330217	1.28705581008455	1.72030594119232	0.759593415724725	-2.68412059263853	1.08884811421849	-1.89772764567941	-0.408685447418177	-0.584787344556711	2.21163361690439	-0.521219021693015	-2.26461903645864	1.94925373687029	0.501026478537021	0.209554828604223	0.888485229202019	-1.07513906028988	0.608280319569561	-0.0334875354766155	0.893637986137297	-0.661668490091101	1.56245829060207	-1.77816458024187	-0.364009137985695	-0.62684243421696	0.186316479081787	-5.40004845705085	1.05399816803512	2.82567137646561	0.601277060225831	-0.69595681532877	0.260211008706353	1.1598391982219	-1.12949727949486
"VNG0028C"	-1.81260769919355	0.0974748138029812	-3.05151744741632	-0.501274215239469	-2.91586657142847	0.500860212040482	0.906741419943193	-0.668969480211813	-1.0266512445554	0.623390421372924	-0.200120385882565	-0.820244062774827	-2.19843096073061	-0.168059711323233	1.0063915312409	1.93475386133738	0.393197722536739	-3.48263261832234	1.14816584560925	1.10748350536122	-1.05843850166428	0.998409164579362	1.35271491342781	-0.2056879501067	0.907862038206942	-0.103291639405815	-0.566575702047657	0.438778011619705	-1.04879657695688	-1.48659607471308	0.271914526174072	-3.94336803188979	1.04828884901405	0.699990299032438	-1.0447256603423	-10.8434769583202	-1.2658352547524	0.22143647717723	-0.639716022717121	0.154321080049925	-1.09777998488542	-3.10094258724016	0.795514242143544
"VNG0034H"	-0.12782363627443	-2.41798246405832	-0.844442278736593	-2.35270862456651	-0.937572230536394	-1.03226261679629	-0.145393719494462	2.12134149305494	-0.514616790885944	1.84089759763696	0.29820568792838	0.496019202687479	-2.94509934818017	1.76410317681293	-5.38320342478911	1.05921040932019	0.854804029295008	-3.95152210675564	-3.17492028087903	0.644513031158243	0.252717000856729	-0.181851573118591	1.10827652139377	-0.35257199437801	1.15988179059944	-0.461824062038427	-2.23598409177016	1.18221874093512	0.359382336272452	-0.0466078393202553	-0.588244322965777	-2.56253524403367	0.0454809003791906	-0.672043988207236	-0.525126106326645	-0.705617194022448	-1.0498190105894	0.498585479917638	0.923996195793256	-2.35890844384409	1.43182785657816	-0.695824019220209	-0.391438220081144
"VNG0042G"	-3.2166115573058	-1.61750106464435	1.08802928167592	3.61451242292201	2.31862238225636	-1.50621739704722	-3.95417180593051	-15.5416644022571	-2.61394220223512	-0.206141793085403	2.55168145867767	2.99856704647302	0.629861625026569	-5.95790450422654	1.25852966623016	-16.6419853793845	-1.52633776813531	1.74936583518425	3.45832307313118	-3.02462338211336	-3.707436035088	1.24334225133556	-4.76385168877228	-2.78004593187523	-2.35040716274418	-1.12181054621305	2.13155645038266	-2.60960525554176	2.48786862673338	-1.79250339213565	3.46844577207087	-5.59893766413803	-1.31988464469292	-1.86743689642238	-2.90549555254703	-11.2565251832166	2.27038187365968	1.08457223448787	2.01874713550949	-2.39076162384195	2.28547348414451	0.912951376306698	-1.3589314794491
"VNG0049H"	-4.97707222758291	-5.42674731228935	0.318190441567717	1.37271915679219	0.930963627678842	-1.72939466222678	-2.04276021579161	-1.29418725558165	-4.72487238454949	1.81230634095052	1.49019298037182	1.15233261180952	-2.07914517022001	-1.2427318043604	0.389899728850024	-1.00849028232368	0.600481879516091	-0.471548786038665	1.11900362688711	0.205636499876098	-1.33834831762972	1.84939689021771	-2.77338180632416	-6.03204531454719	-0.0807340224278047	-5.30350392899047	1.55682388241353	-0.930973183710627	2.50258728229837	-0.944781325141062	-0.600828708445475	-1.93582832691781	1.08546969261304	-0.270119964482065	-5.31076471919471	-0.657096469124939	0.731055912075177	0.679141592013607	0.432251557391846	-1.12570945763897	1.19288169612202	1.2078240628763	-4.73342899616752
"VNG0050C"	-2.24967974471275	-3.41620511931532	0.242530244534149	0.37159115898907	1.67831689252895	-3.24805269541803	-1.91622683274475	-1.38666952935723	-7.93483607123069	1.07101986660291	2.48101080543858	2.7956648394327	0.325652180401023	-2.0887664280464	0.803515674988205	-0.960582178889677	-1.06351505640475	-0.867201685899551	0.682858641575521	-3.15189901768047	-2.13818097721186	0.879126684393354	-1.89621259203351	-3.83704108805838	-3.17066641006127	-4.26861115918927	0.642364808108694	-3.57825813740011	2.86546548641132	-0.89031705543955	1.93491456744623	-2.30840286037324	-1.30644148681604	-4.52346562963454	-3.12861438492902	-2.80451134471931	2.02722073278476	0.324247440879246	0.00975925355191687	-2.1102126913906	0.974171586955419	0.229594272522275	-2.96519710242568
"VNG0053H"	-1.77101672260401	-0.0530133795637929	0.727557751462982	2.57866535614482	1.37062998932551	-0.543527537559575	0.449392480079215	0.015404172265671	-0.586453892776034	1.29861167146514	2.1841445133068	1.62012661698319	-1.18990324821003	-1.67744274158788	0.514646819433536	-0.835772656349811	-0.0872009467371443	-0.769854298958037	0.133941403373409	0.811788585807879	0.20797716501365	1.08557724501473	0.118162620879867	-0.797896090602347	-0.843130028547637	-0.99285978386097	0.979491324239273	-0.424495276348079	0.476364786316328	-1.270219821793	2.04670166899362	-9.25898945132614	1.36967671496441	1.09494838554332	-0.938716087454313	-2.78934831240473	1.48375656066948	0.6122888688395	2.27878688889549	-1.45003107980464	1.67675689658793	1.01251457316767	-2.24515886413078
"VNG0062G"	-1.22779337959515	-0.63262489328037	-2.91980625765198	-0.66611755280501	-1.98600461192868	-3.86780701652856	-2.98371180527317	2.03318218775326	-4.63897608933691	1.86001956578323	-1.56991308184544	-2.75132857514875	-1.69478381765848	1.87017013099088	0.724406857117121	2.44500158041246	0.747295531029384	-3.63249224774073	-1.87302614475418	1.57639129623665	-0.390393133191495	-0.54401963547558	1.59857194671537	-1.29680710819782	0.0305854099234899	-0.783976825432519	0.319237339332289	1.48601931769252	-0.866175419119081	-2.56012707260428	-2.04669741668109	-2.61509002294479	-2.22854641814616	0.277773291202344	-1.15529171152514	-1.95912445925295	-0.848790805745113	-2.53673944699913	-0.479048155884187	-2.32895121693328	0.300188742839261	-1.71531773422942	1.47014824473518
"VNG0064G"	-0.379157466572717	-1.19731034828655	1.94305411342393	-1.03642826430569	-0.976590090236374	0.944850320721883	0.741665240512362	0.970099802529611	-1.40245687562702	0.737550801045018	1.3221515655494	1.62440004998321	-0.933931364059397	2.39955761035635	-6.81385725951662	-0.154625886839132	-0.54876561999587	-0.714552059505899	-0.691558351035911	1.03011668869195	-2.5821400007138	0.705674351939933	0.593918303345757	-0.103950705898342	1.69576238047944	0.434386962338056	-5.3346528618007	0.558581389251807	1.53421314653287	0.525678043028541	-0.192455133957105	-1.60404689668123	-0.0152732088573659	-0.529630136253867	0.534502962326725	0.298284281584431	0.927108090347188	1.58388163246135	0.890871470887519	-2.42373085247694	1.04085536954104	-0.83765164660948	-1.36151568342013
