"VNG0019H" 8 15
"VNG0021H" 27 31
"VNG0028C" 18 16
"VNG0034H" 11 42
"VNG0042G" 25 26
"VNG0049H" 21 23
"VNG0050C" 30 33
"VNG0053H" 2 18
"VNG0062G" 10 38
"VNG0064G" 2 36
"VNG0095G" 14 40
"VNG0098G" 17 22
"VNG0117H" 2 27
"VNG0123G" 19 22
"VNG0124C" 19 26
"VNG0132C" 8 16
"VNG0147C" 15 21
"VNG0149G" 13 24
"VNG0158G" 23 39
"VNG0168H" 17 26
"VNG0176H" 15 22
"VNG0192G" 4 13
"VNG0194H" 6 7
"VNG0226G" 30 31
"VNG0243C" 20 18
"VNG0245G" 30 39
"VNG0248C" 12 38
"VNG0249G" 29 43
"VNG0254G" 5 29
"VNG0285C" 21 39
"VNG0303G" 8 28
"VNG0315G" 1 30
"VNG0324G" 1 39
"VNG0330G" 4 14
"VNG0342G" 5 28
"VNG0343H" 30 34
"VNG0367H" 11 35
"VNG0378C" 18 41
"VNG0394C" 4 11
"VNG0399H" 5 6
"VNG0401G" 19 26
"VNG0402H" 3 9
"VNG0406C" 1 30
"VNG0410G" 17 24
"VNG0415G" 20 32
"VNG0426G" 17 21
"VNG0433C" 17 26
"VNG0439C" 33 21
"VNG0451G" 27 37
"VNG0452G" 7 29
"VNG0453G" 12 34
"VNG0457G" 8 37
"VNG0467G" 22 26
"VNG0482H" 6 42
"VNG0483C" 25 26
"VNG0486G" 14 36
"VNG0491G" 7 30
"VNG0498C" 2 35
"VNG0499G" 13 18
"VNG0501G" 17 25
"VNG0527C" 2 32
"VNG0537C" 18 12
"VNG0539C" 9 35
"VNG0540G" 12 43
"VNG0546C" 25 26
"VNG0549G" 21 27
"VNG0550G" 3 30
"VNG0559G" 5 22
"VNG0573C" 33 20
"VNG0604H" 13 36
"VNG0628G" 34 35
"VNG0659H" 25 26
"VNG0674C" 7 14
"VNG0681G" 7 38
"VNG0700G" 23 41
"VNG0702H" 4 14
"VNG0703H" 15 21
"VNG0715G" 7 14
"VNG0716G" 17 27
"VNG0719G" 9 38
"VNG0729H" 8 31
"VNG0734G" 22 26
"VNG0769H" 25 26
"VNG0794G" 16 35
"VNG0795G" 8 34
"VNG0812G" 9 10
"VNG0816G" 36 32
"VNG0818C" 7 31
"VNG0836H" 32 33
"VNG0837H" 33 35
"VNG0841G" 14 36
"VNG0864G" 24 37
"VNG0870G" 24 31
"VNG0884G" 24 28
"VNG0885G" 40 38
"VNG0916G" 32 42
"VNG0919G" 10 36
"VNG0924G" 6 37
"VNG0925C" 14 37
"VNG0937G" 19 25
"VNG0947G" 20 32
"VNG0961G" 4 42
"VNG0971G" 12 43
"VNG0985H" 32 41
"VNG0991H" 25 31
"VNG0999H" 1 30
"VNG1001G" 15 41
"VNG1007H" 6 36
"VNG1008G" 4 32
"VNG1012H" 17 39
"VNG1013G" 39 41
"VNG1021C" 10 38
"VNG1025H" 11 38
"VNG1036H" 13 41
"VNG1041H" 39 41
"VNG1046H" 36 32
"VNG1053G" 6 33
"VNG1058H" 27 25
"VNG1062G" 19 22
"VNG1068G" 4 38
"VNG1083G" 17 27
"VNG1085H" 7 29
"VNG1088C" 10 29
"VNG1101C" 22 25
"VNG1103G" 13 31
"VNG1105G" 2 31
"VNG1115H" 24 25
"VNG1123G" 26 30
"VNG1125G" 7 29
"VNG1128G" 2 42
"VNG1133G" 20 41
"VNG1136G" 2 13
"VNG1139G" 4 29
"VNG1141G" 4 29
"VNG1142G" 33 42
"VNG1143G" 30 40
"VNG1151H" 22 25
"VNG1168C" 31 19
"VNG1176G" 29 38
"VNG1182H" 9 12
"VNG1183H" 7 14
"VNG1184G" 3 29
"VNG1187G" 12 28
"VNG1189H" 18 43
"VNG1190G" 11 29
"VNG1202C" 13 39
"VNG1218C" 33 41
"VNG1224G" 25 22
"VNG1247G" 25 31
"VNG1249C" 3 22
"VNG1250H" 24 21
"VNG1261H" 3 28
"VNG1263C" 11 31
"VNG1264C" 12 34
"VNG1281H" 21 19
"VNG1291H" 17 26
"VNG1306G" 7 43
"VNG1308G" 37 38
"VNG1313G" 16 34
"VNG1314H" 1 30
"VNG1318H" 18 26
"VNG1320G" 17 23
"VNG1324C" 19 22
"VNG1326H" 7 18
"VNG1343C" 1 30
"VNG1349C" 17 26
"VNG1350C" 1 15
"VNG1377G" 17 25
"VNG1379G" 19 17
"VNG1382H" 31 27
"VNG1394H" 11 32
"VNG1408G" 7 40
"VNG1414G" 8 29
"VNG1420H" 35 41
"VNG1435G" 8 18
"VNG1438H" 1 21
"VNG1442G" 1 25
"VNG1458G" 13 32
"VNG1471C" 19 17
"VNG1473H" 1 22
"VNG1486H" 28 5
"VNG1490H" 10 29
"VNG1500H" 1 21
"VNG1514H" 11 42
"VNG1524C" 7 35
"VNG1526H" 14 38
"VNG1529G" 16 36
"VNG1533H" 21 17
"VNG1538H" 22 19
"VNG1542G" 9 43
"VNG1550G" 35 12
"VNG1551G" 4 30
"VNG1553G" 4 30
"VNG1554G" 6 34
"VNG1555G" 12 38
"VNG1557G" 30 40
"VNG1558H" 29 40
"VNG1559H" 4 40
"VNG1561C" 12 29
"VNG1562H" 34 43
"VNG1564H" 29 30
"VNG1566G" 16 37
"VNG1567G" 28 30
"VNG1568G" 29 37
"VNG1581C" 11 41
"VNG1585C" 28 43
"VNG1589C" 13 41
"VNG1617H" 13 32
"VNG1624G" 16 37
"VNG1635G" 14 38
"VNG1642H" 22 5
"VNG1647G" 20 32
"VNG1663C" 8 40
"VNG1664H" 8 43
"VNG1690G" 4 10
"VNG1691G" 5 33
"VNG1692G" 4 7
"VNG1693G" 23 42
"VNG1695G" 5 6
"VNG1697G" 6 41
"VNG1698G" 6 20
"VNG1699C" 2 41
"VNG1700G" 5 30
"VNG1701G" 33 41
"VNG1702G" 4 42
"VNG1703G" 41 42
"VNG1705G" 6 32
"VNG1706G" 5 41
"VNG1707G" 11 42
"VNG1709G" 23 41
"VNG1711G" 10 6
"VNG1713G" 5 41
"VNG1714G" 38 42
"VNG1715G" 5 21
"VNG1716G" 6 33
"VNG1718G" 2 33
"VNG1719G" 6 11
"VNG1727G" 1 25
"VNG1758H" 17 25
"VNG1760G" 14 40
"VNG1766C" 15 17
"VNG1772G" 1 17
"VNG1773G" 1 21
"VNG1774G" 15 24
