VNG0916G	33
VNG2067H	39
VNG1442G	34
VNG1291H	34
VNG2218G	23
VNG1250H	34
VNG5137H	16
VNG0559G	31
VNG2117C	35
VNG1141G	30
VNG0453G	23
VNG1581C	20
VNG2616G	23
VNG2349G	18
VNG1320G	4
VNG1184G	29
VNG0149G	8
VNG1115H	34
VNG1125G	25
VNG2664G	18
VNG2226G	23
VNG0415G	6
VNG6210G	29
VNG1553G	9
VNG0715G	18
VNG1046H	33
VNG2191H	25
VNG2441G	18
VNG5050H	16
VNG1703G	10
VNG0343H	23
VNG1486H	29
VNG2185H	41
VNG2273H	41
VNG1898C	41
VNG6194H	19
VNG2524H	13
VNG2347G	23
VNG6182H	16
VNG1699C	1
VNG1314H	31
VNG6240G	33
VNG0378C	17
VNG2141G	11
VNG0019H	21
VNG0315G	31
VNG5061C	31
VNG2556H	13
VNG1264C	23
VNG0961G	30
VNG0243C	2
VNG2104G	29
VNG1168C	19
VNG2400H	41
VNG0884G	3
VNG1624G	29
VNG5183G	16
VNG2167G	37
VNG6315G	31
VNG0498C	26
VNG1907H	4
VNG2299H	23
VNG1183H	13
VNG2073C	42
VNG2063G	41
VNG1136G	8
VNG0573C	15
VNG0123G	16
VNG1692G	30
VNG2123G	35
VNG0457G	41
VNG1083G	39
VNG2032G	20
VNG1713G	1
VNG1562H	11
VNG1997G	21
VNG0795G	29
VNG2045G	28
VNG1691G	1
VNG0841G	24
VNG6237G	42
VNG1324C	31
VNG0053H	2
VNG2604G	3
VNG1714G	30
VNG1925H	29
VNG1830G	31
VNG5030G	27
VNG2372G	11
VNG0540G	29
VNG2158G	40
VNG2029H	31
VNG1001G	43
VNG2482G	33
VNG1101C	16
VNG1514H	33
VNG2195G	23
VNG2343G	9
VNG6407H	20
VNG1306G	25
VNG2093G	23
VNG1190G	25
VNG2422G	24
VNG2151G	23
VNG2581H	8
VNG1318H	39
VNG0124C	31
VNG0064G	15
VNG2560G	5
VNG0971G	23
VNG2473G	13
VNG0501G	35
VNG0937G	19
VNG0401G	4
VNG1766C	31
VNG0546C	16
VNG1758H	16
VNG1187G	23
VNG1538H	34
