Gene	Cond0	Cond1	Cond2	Cond3	Cond4
VNG0254G	-0.644340	0.000000	0.098683	1.991069	-0.046439
VNG6316G	0.055260	-0.184201	0.000000	-2.173567	0.264021
VNG0769H	0.236830	-0.272713	0.000000	-2.167351	0.143533
VNG0812G	0.000000	0.104516	-2.194837	0.209032	-0.343410
VNG0168H	0.228236	0.000000	-0.065763	-2.119890	0.224368
VNG1250H	0.501501	0.029851	-0.197018	-2.077647	0.000000
VNG2527G	-0.287470	0.023308	0.000000	2.136603	-0.066040
VNG6198H	0.808719	-1.779181	0.000000	-0.191152	0.485231
VNG0794G	0.184586	-0.304568	-0.516842	1.993533	0.000000
VNG0719G	0.000000	0.029811	-0.512752	1.991386	-0.274263
VNG2139G	-0.952567	0.452066	0.000000	1.735610	-0.258323
VNG6420H	0.259225	-0.080360	0.000000	-2.081580	0.313663
VNG5173H	0.118207	-0.266723	0.000000	-2.161060	0.272785
VNG1647G	0.114870	1.746027	-0.934278	0.000000	-0.359927
VNG2147G	-0.268305	-0.120737	0.000000	2.159858	0.241475
VNG1184G	-0.105625	-0.130478	0.000000	2.180852	0.037280
VNG5008H	0.877386	0.000000	-0.329844	1.840532	-0.606914
VNG6251H	-0.445975	0.137223	0.000000	1.303619	-1.457995
VNG1438H	0.765845	0.000000	-0.142958	-1.848238	0.357394
VNG6168H	0.956294	1.127061	-1.340520	0.000000	-0.256150
VNG6181H	0.745546	-0.517959	0.643524	-1.702985	0.000000
VNG1514H	0.000000	-0.954125	-2.030290	0.410496	0.110945
VNG5180G	0.000000	0.025331	-0.278641	-1.505383	1.302735
VNG1782C	0.069254	-0.380898	0.000000	-2.158420	0.328957
VNG1701G	-2.145292	0.000000	0.269002	-0.053800	0.080701
VNG2199H	0.285159	0.000000	-0.344567	2.091167	-0.249514
VNG0249G	-0.406383	0.094070	0.000000	2.069545	-0.188140
VNG2508C	-0.421027	0.000000	-0.107705	2.105134	0.362279
VNG0399H	0.887221	0.235167	0.000000	-1.806511	-0.053447
VNG1036H	0.783269	0.000000	-1.782612	-0.823783	0.216074
VNG2349G	-0.831840	0.175124	-0.062544	1.882585	0.000000
VNG1382H	0.561529	1.952394	0.000000	-0.492418	-0.397390
VNG1083G	0.338351	0.000000	-0.261743	-2.125863	0.146831
VNG0034H	1.294474	-0.016596	-1.394049	0.663833	0.000000
VNG2201G	0.000000	0.205165	-0.180296	2.213294	-0.031086
VNG0147C	0.000000	-0.179574	0.260383	-1.948380	0.637488
VNG2342H	-0.215485	0.156717	0.000000	2.148323	-0.189366
VNG2138G	-0.629327	0.000000	0.228846	1.856198	-0.527618
VNG2219G	-0.278993	0.053505	0.000000	2.113464	-0.183447
VNG1001G	-0.406081	0.000000	0.135360	-2.117420	0.377075
VNG2008H	0.083537	-0.095470	0.000000	-2.136151	0.310279
VNG0433C	0.000000	0.168679	-0.429364	-2.146820	0.283687
VNG1693G	-2.177214	-0.117129	0.165358	0.130908	0.000000
VNG5050H	0.210974	-0.266820	0.403332	-2.078713	0.000000
VNG0410G	0.632526	0.000000	-0.299617	-1.997449	0.099872
VNG2104G	0.000000	0.185516	-0.198310	2.175010	-0.134339
VNG0285C	0.867941	-0.366736	0.158919	-1.833678	0.000000
VNG6145H	0.426233	-0.621590	-0.443993	1.882530	0.000000
VNG0049H	1.884976	0.000000	0.127256	-0.660139	-0.413581
VNG1555G	-0.612055	0.000000	0.070236	1.946537	-0.285960
VNG1702G	-1.678006	-0.101390	0.000000	1.120360	0.020278
VNG6320C	-1.171092	0.000000	0.103056	1.545841	-0.477805
VNG2371C	0.044410	0.000000	-0.766066	0.488506	-2.053946
VNG0549G	0.000000	-0.042533	0.326087	-1.977789	0.510397
VNG1568G	-0.346534	0.145061	0.000000	2.135618	-0.056413
