"GENE"	"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"V31"	"V32"	"V33"	"V34"	"V35"	"V36"	"V37"	"V38"	"V39"	"V40"	"V41"	"V42"	"V43"
"VNG0019H"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"VNG0021H"	0	0	0	-1.51376090818066	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.55920952208033	0
"VNG0028C"	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.49025886377001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.58135239695912	0	0	0
"VNG0034H"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"VNG0042G"	-1.79657839364576	-1.73649424036977	0	-1.50947551942467	0	-1.59814103070248	-1.42989815486007	0	-1.70668485283437	-2.01818663013182	-1.45304991641838	-1.59622109615292	0	-1.49928994141524	-1.96851378851244	-1.86422665725037	-1.72464534022454	0	-2.06218716510664	0	-1.61772193479939	-1.38421921633511	0	-1.75949758711747	-1.73658429441673	-2.11944880056647	0	-1.89388619667285	-1.42343539088052	0	0	-1.56016629410578	-1.83837005194287	-1.44690143878538	0	0	-1.56255859376857	0	-1.72534387646649	-1.57943526455748	0	-1.56016629410578	0
"VNG0049H"	0	-1.66344342525694	-1.81349110650813	0	0	-1.58518763502461	-1.44217485121861	-1.56638736646704	-1.70668485283437	-1.67551205743826	-1.43272963067578	0	-2.2111846049134	-2.03367578915174	0	0	0	-1.70378102658911	-1.52090737166741	-1.69677842176831	0	0	0	-1.74250801989977	0	0	0	-1.5706963333396	-1.42154977560081	-1.68772425987193	0	-2.10607891557931	-1.98511381202819	-1.44217485121861	0	0	0	-1.58183173085867	-1.67358035820701	-1.59718102403668	0	0	0
"VNG0050C"	-1.45124345946943	-2.036457829338	0	-1.86887070454277	-1.6694455077712	0	-1.77412003979234	-1.5735699111147	-1.75759198380066	-1.72631315266091	0	0	-1.66826959146136	-1.82496753284283	0	0	-1.36226692388346	0	-1.84368436639527	0	-2.05162961783267	-1.37906102461855	-2.22549748807912	-2.0678262259009	0	-1.41495359498223	0	-1.59130654507288	-1.41165754548238	-1.41448264710159	0	-1.58123640068163	0	0	0	-1.57704727330923	-1.57500697842748	0	0	-2.13934850996688	0	0	-2.12921626361882
"VNG0053H"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"VNG0062G"	-1.46070922157928	-2.11264753310395	-1.80569775072163	-1.55958510737864	0	-2.18236960781792	0	-2.11274457004184	0	-1.81719685029231	-1.45210371060203	0	-2.01288442267479	-1.49263462420404	0	-1.82031301837187	-1.90899583423457	-1.75370753202034	-2.35021510600772	0	-1.55681796296745	-2.29670038800751	0	-2.07770237663328	0	-1.41636660546519	-2.12573431872505	-1.57309092986239	-1.42013585260804	-1.42296394592388	-2.20587226625302	0	-1.61838442142016	-1.42942633677261	0	-2.03092767657782	-1.90513993018099	-1.62986451305139	-1.66392596410167	0	0	0	0
"VNG0064G"	-1.86582759355497	0	0	0	-1.64870355177713	-1.66456371079816	0	0	0	-2.09523982815019	-1.76705393978899	-1.58326985417768	0	0	0	-1.84176949164528	-1.72691173592247	0	-1.90476510777656	-1.66344342525694	0	-1.77015127995731	0	-1.73038374545451	-1.37724823461445	-1.77498174723014	0	-1.61916444825098	0	-2.03635672435567	0	-1.55633971489131	-2.0686898046883	-1.46962512553198	0	-1.53591889512996	-1.61916444825098	-1.7487793168855	-1.74085960458359	-1.58087308336061	-1.5040465908863	0	0
"VNG0095G"	-1.55733429975928	0	0	-1.98900246738802	0	0	-1.43792318207107	-1.60570766178401	0	0	0	0	-1.68904148674159	-1.50880559241347	-1.63227748536107	-1.80326301599416	-1.78446248040535	-1.695073026475	-2.08771820475823	0	-1.9530508878241	-1.48666320109139	-1.95988260815497	0	-1.71953918021769	0	0	-1.92762246480427	-2.05756328596868	-1.83467869143696	0	0	-1.63618813404673	-1.49003095560973	0	0	0	0	0	0	0	0	0
"VNG0098G"	0	0	0	-1.84662119404309	-1.64822156817093	-1.59190239949493	-1.46441241463513	-2.17226081006591	-1.75467855783684	0	0	0	0	-1.49406036905254	0	0	-1.44219481891009	-1.75419303765192	-1.92574191553697	0	-1.57021747611515	-1.50663052749581	0	-2.09689697665048	0	-1.49207279402083	-1.92343303333602	-1.61579884870645	-1.42060713275063	-1.76140954425928	-1.65882930351696	-1.58219507894533	-1.83251448217909	0	-1.83640310606358	0	-1.92008413804423	-1.57943526455748	0	-1.59142264354517	0	0	-1.58950381906692
"VNG0117H"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.85613158308804	0	0	-1.39125885402638	0	0	0	-1.42437836292177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
