geneid	Day1.AM	Day1.PM	Day2.AM	Day2.PM
4524784	0.60868	0.94578	-0.60961	2.24463
4524785	0.7033	2.28968	0.79801	1.59278
4524786	0.66293	2.27646	1.00946	1.07331
4524787	0.47515	-0.60488	-0.28196	-0.09456
4524788	0.42462	0.01413	-0.61183	3.90025
4524789	1.03046	0.88028	-1.04008	5.53748
4524790	0.26355	1.47763	-0.41506	5.75183
4524791	-0.7198	0.89924	-0.14976	4.32614
4524792	0.55423	-1.14894	-0.5147	-1.61128
4524793	1.86026	-1.27352	1.1805	-1.49938
4524794	1.72684	0.83419	-0.15992	0.80499
4524795	0.71309	0.30286	0.85744	0.82539
4524796	2.2426	-0.16934	1.20539	1.05629
4524797	2.50607	-0.0568	1.41863	0.58568
4524798	2.33246	0.41357	0.84952	-0.41335
4524799	3.14749	0.31101	1.3996	-0.29636
4524800	2.30028	-0.17742	1.16451	-0.01727
4524801	2.58951	0.19663	0.96882	0.59327
4524802	0.51352	2.19672	0.55069	1.80928
4524803	0.9738	1.84882	0.56376	1.90314
4524804	2.20558	0.34563	-0.00896	1.61921
4524805	1.61912	-2.90207	3.4501	-3.87252
4524806	1.87091	-4.05108	3.09917	-3.38099
4524807	1.95138	-4.15735	3.64549	-3.12175
4524808	1.54906	-1.79436	2.74559	-3.95075
4524809	0.92941	-1.11954	2.65526	-1.98524
4524810	1.89396	-2.32724	2.64503	-3.53541
4524811	0.43036	-1.6536	1.5296	-1.73533
4524812	1.85043	-3.17001	2.24229	-2.53975
4524813	0.52458	2.56167	0.8832	1.56481
4524814	1.60877	1.50885	-0.45317	0.99777
4524815	0.66269	-0.86812	0.51699	2.05523
4524816	0.94595	-3.20204	1.21518	-0.26719
4524817	0.73165	-1.74235	0.03211	2.22447
4524818	0.68376	-0.31732	-0.31712	1.68993
4524819	0.93953	0.79803	-0.63164	4.7305
4524820	0.67162	0.16576	-1.11164	5.41271
4524821	-0.58983	-0.12272	-0.0555	1.41874
4524822	0.94513	0.81219	-0.7744	2.97216
4524823	2.13484	1.20102	0.09634	0.54641
4524824	1.34053	0.83012	0.06861	1.1144
4524825	1.30269	-2.20171	2.74704	-2.0778
4524826	2.6257	-3.54052	2.81411	-2.57783
4524827	2.83765	-3.03368	3.3085	-2.9984
4524828	1.61593	-0.88069	1.60935	-1.60765
4524829	0.93329	-1.18764	1.21092	-1.2546
4524830	1.6538	-3.41957	1.19601	-2.03356
4524831	1.32927	-2.44907	0.3949	0.92981
4524832	0.21109	0.95063	0.03027	6.83845
4524833	-0.45933	-0.15826	0.48086	4.16769
4524834	1.27232	-0.12396	1.08696	0.60252
4524835	1.23546	1.02163	0.57527	4.71874
4524836	0.67052	0.79411	0.39496	1.90467
4524837	1.16709	-1.88062	0.32209	1.21184
4524838	0.95803	-1.29329	1.16142	0.82393
4524839	1.12281	-0.87524	2.76441	0.53595
4524840	1.37801	-2.02972	2.79918	-0.77491
4524841	1.71111	0.245	0.76718	3.74312
4524842	2.27551	-2.03265	0.90249	2.22088
4524843	2.08398	0.33699	0.79041	2.43746
4524844	2.06074	0.48206	0.5392	0.69982
4524845	0.50146	-1.97768	0.92955	-1.01406
4524846	1.25682	1.67151	0.19457	4.22443
4524847	1.76702	1.47979	-0.05588	3.52868
4524848	1.5429	1.0661	0.51395	4.70196
4524849	0.58236	0.97277	-0.32906	1.47113
4524850	1.74857	-1.39394	0.35745	-1.64105
4524851	1.24933	-1.46772	0.49696	-0.60369
4524852	-0.08535	0.86155	-0.31403	3.20547
4524854	1.49943	-2.20003	1.43425	-1.04194
4524855	1.31336	-1.53395	1.98158	-1.78197
4524856	1.40074	-1.77146	1.47686	-1.07961
4524857	3.08936	-3.20646	0.38458	0.24334
4524858	0.00966	-0.80613	-0.05003	1.00971
4524859	0.9944	-1.21914	0.81258	-1.8408
4524860	2.65843	-3.37841	2.75913	-2.71503
4524861	2.16508	-1.67668	0.45397	-1.47138
4524862	1.09148	-1.65599	0.27989	-1.55857
4524863	0.96459	1.99751	0.82386	3.95579
4524864	2.91532	1.92559	0.55447	1.90323
4524865	1.16229	1.58809	0.7962	2.79221
4524866	2.52039	1.50396	-0.29147	0.8951
4524867	1.72503	1.9643	1.01061	4.59223
4524868	1.83857	1.15669	1.53063	3.87709
4524869	2.03954	0.92983	1.81024	1.93536
4524870	1.85922	0.61663	1.93946	3.02863
4524871	1.01469	0.63467	0.56166	1.40808
4524872	1.2847	2.37903	0.11114	7.161
4524873	1.43154	0.57286	-1.02758	4.85474
4524874	3.14207	-1.6707	0.25879	0.36691
4524875	1.27671	-0.73175	0.54934	1.48244
4524876	1.32374	-0.12138	1.73717	-0.52312
4524877	1.76181	-0.68831	2.81561	-1.67601
4524878	1.90573	-0.0968	1.98647	-2.43105
4524879	1.20969	0.22898	1.5471	1.0544
4524880	-0.60882	-0.03967	0.53876	4.55714
4524881	0.40447	1.09018	0.10997	4.76616
4524882	1.54624	-1.47991	0.11354	2.44412
